name trial difficulty fixations accuracy phase hit group
control3 113 559 2 350 training false control
control3 114 559 2 6 training true control
control3 115 559 3 5 training true control
control3 116 559 16 453 training false control
control3 117 559 4 32 training true control
control3 118 559 6 21 training true control
control3 119 559 1 9 training true control
control3 120 549 3 4 training true control
control3 121 549 6 6 training true control
control3 122 549 1 22 training true control
control3 123 539 6 26 training true control
control3 124 539 2 21 training true control
control3 125 539 13 258 training false control
control3 126 539 4 327 training false control
control3 127 539 3 14 training true control
control3 128 539 3 5 training true control
control3 129 539 1 49 training true control
control3 130 529 6 449 training false control
control3 131 529 10 15 training true control
control3 132 529 2 26 training true control
control3 133 529 5 228 training false control
control3 134 529 7 399 training false control
control3 135 529 7 54 training true control
control3 136 539 7 16 training true control
control3 137 539 4 35 training true control
control3 138 539 3 33 training true control
control3 139 539 6 33 training true control
control3 140 529 3 36 training true control
control3 141 529 1 30 training true control
control3 142 529 1 38 training true control
control3 143 519 1 28 training true control
control3 144 519 10 504 training false control
control3 145 519 4 12 training true control
control3 146 519 2 75 training false control
control3 147 519 9 245 training false control
control3 148 519 2 109 training false control
control3 149 529 3 33 training true control
control3 150 529 2 5 training true control
control3 151 529 2 17 training true control
control3 152 519 7 24 training true control
control3 153 519 2 13 training true control
control3 154 519 5 37 training true control
control3 155 519 9 17 training true control
control3 156 519 1 22 training true control
control3 157 519 4 29 training true control
control3 158 519 18 72 training false control
control3 159 519 5 23 training true control
control3 160 519 1 342 training false control
control3 161 700 2 18 after true control
control3 162 700 5 39 after true control
control3 163 700 2 7 after true control
control3 164 690 14 563 after false control
control3 165 690 2 13 after true control
control3 166 690 1 17 after true control
control3 167 690 6 9 after true control
control3 168 679 1 19 after true control
control3 169 679 2 2 after true control
control3 170 679 2 13 after true control
control3 171 669 5 30 after true control
control3 172 669 2 23 after true control
control3 173 669 1 21 after true control
control3 174 659 6 11 after true control
control3 175 659 4 3 after true control
control3 176 659 6 5 after true control
control3 177 649 11 387 after false control
control3 178 649 4 18 after true control
control3 179 649 1 12 after true control
control3 180 649 5 25 after true control
control3 181 639 6 12 after true control
control3 182 639 1 8 after true control
control3 183 639 7 9 after true control
control3 184 639 4 11 after true control
control3 185 639 1 14 after true control
control3 186 639 5 19 after true control
control3 187 629 4 7 after true control
control3 188 629 4 9 after true control
control3 189 629 3 3 after true control
control3 190 619 6 45 after true control
control3 191 619 7 56 after true control
control3 192 619 4 1 after true control
control3 193 619 1 5 after true control
control3 194 619 5 6 after true control
control3 195 609 9 39 after true control
control3 196 609 7 3 after true control
control3 197 609 2 2 after true control
control3 198 609 3 43 after true control
control3 199 609 9 6 after true control
control3 200 609 4 9 after true control
control4 1 700 37 554 before false control
control4 2 700 2 72 before false control
control4 3 700 9 40 before true control
control4 4 710 5 58 before true control
control4 5 710 1 12 before true control
control4 6 710 2 31 before true control
control4 7 700 6 285 before false control
control4 8 700 12 2 before true control
control4 9 700 8 546 before false control
control4 10 710 4 14 before true control
control4 11 710 1 21 before true control
control4 12 710 6 8 before true control
control4 13 700 2 32 before true control
control4 14 700 3 9 before true control
control4 15 700 1 2 before true control
control4 16 690 7 3 before true control
control4 17 690 5 29 before true control
control4 18 690 7 19 before true control
control4 19 690 13 51 before true control
control4 20 690 9 16 before true control
control4 21 700 7 28 before true control
control4 22 700 4 9 before true control
control4 23 700 4 9 before true control
control4 24 700 3 9 before true control
control4 25 690 2 48 before true control
control4 26 690 5 51 before true control
control4 27 690 1 22 before true control
control4 28 679 3 5 before true control
